acType,acClass,EngNumb-FAAWeightClass,ICAO WTC,RECAT 1.5 Wake Category,SRS,LAHSO,NumbEngines,EngType,WTClass
B525,Helicopter,2T/S+,Medium,F,I,,2,T,S+
B58T,Fixed-wing,2P/S,Light,F,II,,2,P,S
B60,Fixed-wing,1P/S,Light,F,I,,1,P,S
B609,Tilt-rotor,2T/S+,Medium,F,II,,2,T,S+
B60T,Fixed-wing,2T/S,Light,F,II,,2,T,S
B701,Fixed-wing,4J/L,Medium,D,III,9,4,J,L
B703,Fixed-wing,4J/H,Heavy,C,III,9,4,J,H
B712,Fixed-wing,2J/L,Medium,D,III,7,2,J,L
B720,Fixed-wing,4J/L,Medium,D,III,9,4,J,L
B721,Fixed-wing,3J/L,Medium,D,III,7,3,J,L
B722,Fixed-wing,3J/L,Medium,D,III,7,3,J,L
B732,Fixed-wing,2J/L,Medium,D,III,7,2,J,L
B733,Fixed-wing,2J/L,Medium,D,III,7,2,J,L
B734,Fixed-wing,2J/L,Medium,D,III,8,2,J,L
B735,Fixed-wing,2J/L,Medium,D,III,7,2,J,L
B736,Fixed-wing,2J/L,Medium,D,III,7,2,J,L
B737,Fixed-wing,2J/L,Medium,D,III,8,2,J,L
B738,Fixed-wing,2J/L,Medium,D,III,9,2,J,L
B739,Fixed-wing,2J/L,Medium,D,III,9,2,J,L
B741,Fixed-wing,4J/H,Heavy,B,III,10,4,J,H
B742,Fixed-wing,4J/H,Heavy,B,III,10,4,J,H
B743,Fixed-wing,4J/H,Heavy,B,III,10,4,J,H
B744,Fixed-wing,4J/H,Heavy,B,III,10,4,J,H
B748,Fixed-wing,4J/H,Heavy,B,III,8,4,J,H
B74D,Fixed-wing,4J/H,Heavy,B,III,,4,J,H
B74R,Fixed-wing,4J/H,Heavy,B,III,10,4,J,H
B74S,Fixed-wing,4J/H,Heavy,B,III,9,4,J,H
B752,Fixed-wing,2J/L,Medium,D,III,7,2,J,L
B753,Fixed-wing,2J/L,Medium,D,III,8,2,J,L
B762,Fixed-wing,2J/H,Heavy,C,III,9,2,J,H
B763,Fixed-wing,2J/H,Heavy,C,III,9,2,J,H
B764,Fixed-wing,2J/H,Heavy,C,III,9,2,J,H
B772,Fixed-wing,2J/H,Heavy,B,III,9,2,J,H
B773,Fixed-wing,2J/H,Heavy,B,III,9,2,J,H
B778,Fixed-wing,2J/NOWGT,Heavy,NOWGT,III,,2,J,NOWGT
B779,Fixed-wing,2J/NOWGT,Heavy,NOWGT,III,,2,J,NOWGT
B77L,Fixed-wing,2J/H,Heavy,B,III,7,2,J,H
B77W,Fixed-wing,2J/H,Heavy,B,III,7,2,J,H
B788,Fixed-wing,2J/H,Heavy,B,III,7,2,J,H
B789,Fixed-wing,2J/H,Heavy,B,III,7,2,J,H
B78X,Fixed-wing,2J/NOWGT,Heavy,NOWGT,III,,2,J,NOWGT
BA11,Fixed-wing,2J/L,Medium,D,III,7,2,J,L
BABY,Helicopter,1P/S,Light,F,I,,1,P,S
BAR6,Fixed-wing,1P/S,Light,F,I,,1,P,S
BARC,Fixed-wing,1P/S,Light,F,I,,1,P,S
BASS,Fixed-wing,2P/S,Light,F,II,8,2,P,S
BBAT,Fixed-wing,1P/S,Light,F,I,,1,P,S
BBIR,Fixed-wing,1P/S,Light,F,I,,1,P,S
BCA3,Fixed-wing,1P/S,Light,F,I,,1,P,S
BCAT,Fixed-wing,1P/S+,Light,F,III,,1,P,S+
BCS1,Fixed-wing,2J/L,Medium,D,III,,2,J,L
BCS3,Fixed-wing,2J/L,Medium,D,III,,2,J,L
BD10,Fixed-wing,1J/S,Light,F,III,,1,J,S
BD12,Fixed-wing,1P/S,Light,F,I,,1,P,S
BD17,Fixed-wing,1P/S,Light,F,I,,1,P,S
BD4,Fixed-wing,1P/S,Light,F,I,,1,P,S
BD5,Fixed-wing,1P/S,Light,F,I,,1,P,S
BD5J,Fixed-wing,1J/S,Light,F,III,,1,J,S
BD5T,Fixed-wing,1T/S,Light,F,I,,1,T,S
BDOG,Fixed-wing,1P/S,Light,F,I,,1,P,S
BE10,Fixed-wing,2T/S,Light,F,II,7,2,T,S
BE12,@Fixed-wing,2T/L,Medium,D,III,,2,T,L
BE17,Fixed-wing,1P/S,Light,F,I,2,1,P,S
BE18,Fixed-wing,2P/S,Light,F,II,4,2,P,S
BE19,Fixed-wing,1P/S,Light,F,I,1,1,P,S
BE20,Fixed-wing,2T/S+,Light,F,III,7,2,T,S+
BE23,Fixed-wing,1P/S,Light,F,I,2,1,P,S
BE24,Fixed-wing,1P/S,Light,F,I,3,1,P,S
BE30,Fixed-wing,2T/S+,Light,F,III,6,2,T,S+
BE32,Fixed-wing,2T/S+,Medium,F,III,,2,T,S+
BE33,Fixed-wing,1P/S,Light,F,I,4,1,P,S
BE35,Fixed-wing,1P/S,Light,F,I,3,1,P,S
BE36,Fixed-wing,1P/S,Light,F,I,2,1,P,S
BE40,Fixed-wing,2J/S+,Medium,F,III,8,2,J,S+
BE45,Fixed-wing,2J/S+,Medium,F,III,,2,J,S+
BE50,Fixed-wing,2P/S,Light,F,II,4,2,P,S
BE55,Fixed-wing,2P/S,Light,F,II,6,2,P,S
BE56,Fixed-wing,2P/S,Light,F,II,2,2,P,S
BE58,Fixed-wing,2P/S,Light,F,II,6,2,P,S
BE60,Fixed-wing,2P/S,Light,F,II,8,2,P,S
BE65,Fixed-wing,2P/S,Light,F,II,5,2,P,S
BE70,Fixed-wing,2P/S,Light,F,II,1,2,P,S
BE76,Fixed-wing,2P/S,Light,F,II,4,2,P,S
BE77,Fixed-wing,1P/S,Light,F,I,1,1,P,S
BE80,Fixed-wing,2P/S,Light,F,II,5,2,P,S
BE88,Fixed-wing,2P/S,Light,F,II,5,2,P,S
BE95,Fixed-wing,2P/S,Light,F,II,5,2,P,S
BE99,Fixed-wing,2T/S,Light,F,II,5,2,T,S
BE9L,Fixed-wing,2T/S,Light,F,II,5,2,T,S
BE9T,Fixed-wing,2T/S,Light,F,II,7,2,T,S
BEAR,Fixed-wing,1P/S,Light,F,I,,1,P,S
BELF,Fixed-wing,4T/L,Medium,D,III,,4,T,L
BER2,@Fixed-wing,2J/L,Medium,D,III,,2,J,L
BER4,@Fixed-wing,2J/L,Medium,D,III,,2,J,L
BETA,Fixed-wing,1P/S,Light,F,I,,1,P,S
BEVR,Fixed-wing,1P/S,Light,F,I,,1,P,S
BF19,Fixed-wing,1P/S,Light,F,I,,1,P,S
